AK,02,Alaska|AK,02
AL,01,Alabama|AL,01
AR,05,Arkansas|AR,05
AZ,04,Arizona|AZ,04
CA,06,California|CA,06
CO,08,Colorado|CO,08
CT,09,Connecticut|CT,09
DE,10,Delaware|DE,10
DC,11,District of Columbia|DC,11
FL,12,Florida|FL,12
GA,13,Georgia|GA,13
HI,15,Hawaii|HI,15
ID,16,Idaho|ID,16
IL,17,Illinois|IL,17
IN,18,Indiana|IN,18
IA,19,Iowa|IA,19
KS,20,Kansas|KS,20
KY,21,Kentucky|KY,21
LA,22,Louisiana|LA,22
ME,23,Maine|ME,23
MD,24,Maryland|MD,24
MA,25,Massachusetts|MA,25
MI,26,Michigan|MI,26
MN,27,Minnesota|MN,27
MS,28,Mississippi|MS,28
MO,29,Missouri|MO,29
MT,30,Montana|MT,30
NE,31,Nebraska|NE,31
NV,32,Nevada|NV,32
NH,33,New Hampshire|NH,33
NJ,34,New Jersey|NJ,34
NM,35,New Mexico|NM,35
NY,36,New York|NY,36
NC,37,North Carolina|NC,37
ND,38,North Dakota|ND,38
OH,39,Ohio|OH,39
OK,40,Oklahoma|OK,40
OR,41,Oregon|OR,41
PA,42,Pennsylvania|PA,42
RI,44,Rhode Island|RI,44
SC,45,South Carolina|SC,45
SD,46,South Dakota|SD,46
TN,47,Tennessee|TN,47
TX,48,Texas|TX,48
UT,49,Utah|UT,49
VT,50,Vermont|VT,50
VA,51,Virginia|VA,51
WA,53,Washington|Washington State|WA,53
WV,54,West Virginia|WV,54
WI,55,Wisconsin|WI,55
WY,56,Wyoming|WY,56
